
1,1 star ratingEek! Methinks not.2 star ratingMeh. I've experienced better.3 star rating4 star ratingYay! I'm a fan.5 star ratingWoohoo! As good as it gets!Start your review of Clinton Street Baking Company &amp; Restaurant
5,This place is amazing. It's bomb in NYC and it it bomb in Singapore. The pancakes and French toast are just soooo good! Place is open till 6 and sometimes 9pm. Breakfast till 6pm!!! Insane! That's right there gets 5 stars!Place is small. but they do a great job of placing tables for everyone. They ended up giving us two tables because we ordered for five people (even though there were only two of us).Blueberry Pancakes - Fire! My only complaint is they don't put the blueberries inside of the batter. Tastes so much better when inside.Walnut Banana pancakes with a side of Chocolate Chips - so good. It's like a cookieBrioche French toast - bomb. Great flavor. Nicely cooked.Egg White omelette with goat cheese. mushroom. spinach. Delicious.NYC to Singapore. Place is a staple..css-1c2abjj.css-1c2abjj svgUseful 
5,.css-1qkiuob.css-1qkiuob svg 1 photo.css-z6383k.css-z6383k svg 1 check-inSo long as Clinton Street Baking Company continues to dish up the best pancakes I've ever had in my life be they in New York City. Tokyo. or Singapore. I'll continue to give them five stars.Star 1: How were the service and atmosphere?This Clinton Street is a cute little one comparable to their Tokyo location. and while it lacked the natural light conducive to food photography (I know I know I'm sorry for even pointing that out). the service was fast and friendly. Star. Star 2: How were the portions relative to the cost?$19.00 for brioche french toast was pricey. but very much on par with other spots catering to tourists and expats like Clinton Street and Common Man. Star. Stars 3 and 4: How was the food?Clinton Street continues to dish up the best pancakes in the world - seriously. I don't know how they do it and especially how they maintain consistency internationally. but these fluffy cakes of goodness are so flavorful and go so well with the blueberries and maple butter syrup that it's just impossible to compete. Two Stars. Star 5: Would you be excited to go back?Always. Star.Useful Funny Cool 
5,Great American styled brunch option. The biscuit was perfect. The portions were big. Would definitely go back if visiting the country again.
5, 1 check-inGood American style food. large portions. good coffee and tea. recommended. Pancakes are huge and tasty. bacon is crunchy and very nice.
5,Outstanding pancakes!!! The portion sizes are a little intimidating. so if you don't tend to eat much. I'd recommend sharing one dish with a friend. I had the blueberry pancakes. as well as a mocha. The mocha was good. but the pancakes were where they shined.Cool 
5, 2 photosDefinitely on the pricey side. but that is to be expected of most of the restaurants in the downtown area. I went for breakfast and the food was amazing. with a variety of American-style options to choose from. I shared the chocolate chip pancakes and a scrambled eggs dish. and both were fantastic. The pancakes were fluffy and the chocolate chips were a perfect complement. It was such a sweet. rich dish and I wish I had gotten a larger share (I split between 4 people though. so that shouldn't have been a surprise). The eggs were delicious. and the biscuit that came with it was amazing - so buttery and satisfying. I would definitely recommend getting a few things to split. because then you can try multiple offerings. Next time I am in Singapore I will definitely come back!
5, 1 photo 1 check-inFavorite brunch place in town. Always bustling atmosphere whenever we drop by. Expect a waiting list during weekends. Chicken waffle is definitely a must try. We've tried the huevos rancheros &amp; sugar bacon burger as well which really aren't bad at all. Overall. everything in this place are cooked &amp; tastes well.
5,This is a great place to get breakfast all day long. I ordered the pancakes with bananas and walnuts and was not disappointed. The syrup is rich and flavorful. the nuts are candies and the bananas are lightly dusted with sugar. It doesn't look like a lot but it was very filling. The restaurant isn't very big so get here early or plan to wait for a table. The prices are average for the area. I will definitely return the next time I'm in Singapore.
5,Delicious breakfast. Good menu options in a nice little neighbourhood. Staff all very friendly and attentive
5,Massive portions!! We've tried the blueberry pancakes and we had to take half away as it was so big. It was delicious too. The restaurant was super busy and it was almost 1400. Totally recommend for a late breakfast!
5, 1 photoI'm not a huge fan of pancakes and that's not because I don't enjoy them. I do. I really do. It's just that not everyone perfects them. My husband and I were in Singapore for a couple of days and we both like our meals to be delicious. So my husband found this place mostly because they have good pancakes (based on the reviews he read) and we decided to give it a try. We both ordered our pancakes with chocolate chunks. When the waiter brought the pancakes to our table. they looked like regular pancakes. However. the moment I drizzled the buttered maple syrup on top of the fluffy round edges of my pancake. I immediately knew that this one is going to be one of the best I ever had. And I was right. The buttered maple syrup was so darn good to the point that without it. the pancake would not taste this incredible. My husband loved it and so did I. Glad we gave it a try. Now I think you should.
5, 3 photosThe pancakes are insane!!!! Went here for breakfast and we ordered heuvos ranchis and the salmon omelette. Both were ok but nothing special. Next we ordered the chocolate chip pancakes. I believe they are one of the best pancakes I have ever tasted. They are hot. fluffy and the chocolate chip are melted inside them. Plus the pancakes are hot such that the chocolate chip sprinkled above them can easily melt. Other than the perfect pancakes the maple syrup that comes with it is also perfect. It's not your average maple syrup.Useful Cool 
5,This place was soooooo delicious!!! We came here on our first day in Singapore for breakfast and ended up coming back on our last day because of how good it was. The waffles were amazing and the orange juice really was freshly squeezed. The place is very clean inside and the workers were patient. helpful. and friendly. 10/10 recommend!
5, 3 photosBy far the best Western style breakfast/brunch I've ever had in Singapore. I highly recommend the blueberry pancakes and the hash brown.Came in a party of 2. Noting the portions of the people around. we ordered a blueberry pancake. a hash brown. and a two eggs. any style. which we chose scrambled. The blueberry pancakes - extremely fluffy. not at all dry. with a fragrance that reminds me of nice waffles. which on its own is already worth a 4/5. Comes with the blueberry sauce which unlike typical jam-type of sauce. is not too sweet. but somewhat tart. very refreshing. Also comes with a small cup of maple butter. Oh the brilliance. Saves you the trouble of spreading the butter. an extremely cumbersome process. The maple butter is not too sweet. with a flavour that is surprisingly not too heavy. somewhat reminiscent of caramel. and has a nice amber fragrance to it. These 3 items eaten together is heavenly. So overall a 5/5 for this dish. without a shadow of doubt. Portion to us is too large for 1 person. Maybe closer to 1.5 persons for typical Singaporean breakfast portioning. The scrambled eggs. well done. nice butter fragrance. nothing spectacular compared to the other 2 dishes. 4/5.The has brown. oh the hash brown. Drenched in buttery goodness. with a mix of smooth mashed potatoes. chunky potatoes and some portions that are fried crispy. Plain. simple goodness made to perfection. This to me overtakes the well done rosti at Marche as the best rendition of a potato dish. 5/5. All in all I am impressed. I'm not even sure why some people complain about the prices. It appears expensive. yes but that reflects the portion they are serving. Bring friends along to share and the prices are extremely reasonable. Coupled with the brilliant quality. this is a no-brainer. Never had a western style breakfast that truly impressed me in Singapore. This is the first.
5, 5 photosWow very impressive food !we try once and tomorrow will be our second time I thinking to go there once a month at least :-)See all photos from Pierre-Richard P. for Clinton Street Baking Company &amp; Restaurant
5,.css-vuvvb9.css-vuvvb9 svgUpdated review 2 check-insIf you want an excellent American style breakfast. this is THE spot. Cool. clean. brightly lit bakery serves a broad breakfast menu all day. Lunch menu served from 11:30am until 9pm. A good selection of bakery treats are available all day.Previous reviewIf you want an excellent American style breakfast. this is THE spot. Cool. clean. brightly lit bakery serves a broad breakfast menu all day. Lunch menu served from 11:30am until 9pm. A good selection of bakery treats are available all day.Read more
5, 1 photoI had a delicious salmon latkes plate with caviar and aioli. It was really rich. I also ordered toast that was slightly disappointing but the latkes more than made up for it!
5, 2 photos 3 check-insI can't think of a better place to have pies. waffles or pancakes in Singapore. The diner style atmosphere is casual and relaxed. A great place to bring kids and family to during weekends.
5, 1 photoAmazing place. Worth the wait. Coffee is great &amp; don't get us started with the pancakes. Renowned for its crisp. definitely worth a try.
4, 2 photosI wanted to go here for the past two days for breakfast. but it was so crowded! Today I waited until the afternoon and had a late. late breakfast. I got the banana walnut pancakes and they were delicious!! Looking around. all the food that people ordered looked good.
